,name,occupation,dob,country
558,Ziryab,"musician, poet, singer",,iraq
559,Baqir Jabr al-Zubeidi,politician,,iraq
560,Mohammed Amza Zubeidi,"politician, former prime minister",,iraq
561,Shaima Zubeir,television presenter,,iraq
562,Ahmad Aali,"photographer, artist",,iran
563,Reza Abbasi,painter,,iran
564,Akbar Abdi,"actor, comedian",,iran
565,Ali Akbar Abdolrashidi,"journalist, translator",,iran
566,Reza Abedini,graphic designer,,iran
567,Mohammad-Ali Abtahi,"theologian, scholar, former vice president",,iran
568,Lily Afshar,classical guitarist,,iran
569,Mahnaz Afshar,actress,,iran
570,Nazanin Afshin-Jam,"activist, singer",,iran
571,Alireza Afzalipour,"engineer, philanthropist",,iran
572,Emmanuel Agassi,boxer,,iran
573,Hashem Aghajari,historian,,iran
574,Aydin Aghdashloo,"painter, author, art critic, art historian",,iran
575,Shohreh Aghdashloo,actress,,iran
576,Pegah Ahangarani,actress,,iran
577,Mahmoud Ahmadinejad,president,,iran
578,Jamal-al-Din al-Afghani,"political activist, ideologist",,iran
579,Reza Alamouti,political activist,,iran
580,Taraneh Alidoosti,actress,,iran
581,Akbar Alizad,theater director,,iran
582,Hossein Alizadeh,composer,,iran
583,Javad Alizadeh,cartoonist,,iran
584,Jahangir Almasi,actor,,iran
585,Hossein Amanat,architect,,iran
586,Goli Ameri,"diplomat, politician",,iran
587,Ebrahim Amini,politician,,iran
588,Farhad Sadeghi Amini,painter,,iran
589,Ahamd Amir-Ahmadi,"military leader, politician",,iran
590,Hossein Khajeh Amiri,musician,,iran
591,Gholam Hossein Amirkhani,calligrapher,,iran
592,Anousheh Ansari,engineer,,iran
593,Majead Ansari,politician,,iran
594,Hushang Ansary,"diplomat, philanthropist",,iran
595,Kiarash Anvari,"film maker, scriptwriter",,iran
596,Leila Arab,"singer, record producer",,iran
597,Kamrooz Aram,artist,,iran
598,Arash,"singer, dancer, entertainer, producer",,iran
599,Safi-ad-din Ardabili,spiritual founder of Safavid dynasty,,iran
600,Mohammad-Reza Aref,"politician, academic",,iran
601,Dariush Arjmand,actor,,iran
602,Siah Armajani,sculptor,,iran
603,Bahram Aryana,military commander,,iran
604,Ebrahim Asgharzadeh,"political activist, politician",,iran
605,Faramarz Aslani,"guitarist, songwriter, singer",,iran
606,Alireza Assar,"singer, pianist",,iran
607,Hamid-Reza Assefi,politician,,iran
608,Mirza Mehdi Khan Astarabadi,"historian, biographer, advisor",,iran
609,Touraj Atabaki,academic,,iran
610,Manouchehr Atashi,"poet, writer, journalist",,iran
611,Farzan Athari,"actor, television host",,iran
612,Morteza Avini,photographer,,iran
613,Khodadad Azizi,"footballer, coach",,iran
614,Emadeddin Baghi,"human rights activist, journalist",,iran
615,Mehrdad Bahar,"historian, linguist",,iran
616,Mohammad-Taqi Bahar,"poet, politician, journalist",,iran
617,Mohammad-Javad Bahonar,"former prime minister, theologian, scholar",,iran
618,Mohammad-Reza Bahonar,politician,,iran
619,Shapour Bakhtiar,"political scientist, former prime minister",,iran
620,Teymour Bakhtiar,head of SAVAK,,iran
621,Gholam-Hossein Banan,"singer, musician",,iran
622,Rakhshan Bani-E'temad,"film director, screenwriter",,iran
623,Abulhasan Banisadr,president,,iran
624,Mansour Barzegar,"Olympic medalist, wrestler",,iran
625,Camila Batmanghelidjh,"author, philanthropist",,iran
626,Bahram Bayzai,"film director, screenwriter, playwright",,iran
627,Mehdi Bazargan,"prime minister, scholar",,iran
628,Mohammad Beheshti,chief justice,,iran
629,Massoud Behnoud,"journalist, historian, writer",,iran
630,Nima Behnoud,fashion designer,,iran
631,Sima Bina,"singer, songwriter, composer, musician",,iran
632,Maziyar Bizhani,cartoonist,,iran
633,Shiva Boloorian,"actress, stage director",,iran
634,Karim Buzarjomehri,military general,,iran
635,Paul Caldani,"musician, radio personality",,iran
636,Mehdi Chamran,politician,,iran
637,Mostafa Chamran,"scientist, politician",,iran
638,Cassandra Clare,author,,iran
639,Joseph Cochran,missionary,,iran
640,Hamid Dabashi,"philosopher, author",,iran
641,Alireza Dabir,"Olympic medalist, wrestler",,iran
642,Ahmad Mahdavi Damghani,"author, scholar",,iran
643,Kamran Daneshjoo,"educator, politician",,iran
644,Bijan Daneshmand,"writer, director, actor",,iran
645,Iran Darroudi,artist,,iran
646,Ali Dashti,politician,,iran
647,Ali-Akbar Davar,"minister, founder of Iran's modern judiciary system",,iran
648,Nader Davoodi,photojournalist,,iran
649,Reza Deghati,photojournalist,,iran
650,Ali-Akbar Dehkhoda,"linguist, author",,iran
651,Hossein Dehlavi,composer,,iran
652,Masoud Dehnamaki,"activist, journalist",,iran
653,Delkash,"actress, singer",,iran
654,Jimmy Delshad,politician,,iran
655,"Hossein ""Hoder"" Derakhshan",blogger,,iran
656,"Vigen ""Viguen"" Derderian",singer,,iran
657,Kamran Diba,architect,,iran
658,Ali Divandari,"cartoonist, graphic designer, painter",,iran
659,Ali Dizaei,commander London Metropolitan Police,,iran
660,Ghorbanali Dorri-Najafabadi,"politician, cleric",,iran
661,Shirin Ebadi,"lawyer, human rights activist, Nobel laureate",,iran
662,Ebi,"singer, songwriter",,iran
663,Zahra Amir Ebrahimi,photographer,,iran
664,Masoumeh Ebtekar,"scientist, journalist, politician",,iran
665,Dariush Eghbali,singer,,iran
666,Saeed Emami,politician,,iran
667,Bizhan Emkanian,actor,,iran
668,Shahram Entekhabi,"video, installation artist",,iran
669,Ezzatolah Entezami,actor,,iran
670,Homayoun Ershadi,actor,,iran
671,Mohammad Esfahani,singer,,iran
672,Tania Eshaghoff,pianist,,iran
673,Zahra Eshraghi,"feminist, human rights activist",,iran
674,Abolhassan Etessami,"architect, painter, novelist, calligrapher",,iran
675,Vahid Evazzadeh,"filmmaker, theater director",,iran
676,Farhad Fakhreddini,"composer, conductor",,iran
677,Ali Fallahian,politician,,iran
678,Parviz Fannizadeh,actor,,iran
679,Behzad Farahani,"actor, screenwriter",,iran
680,Golshifteh Farahani,"actress, pianist",,iran
681,Mitra Farahani,"filmmaker, painter",,iran
682,Ramin Farahani,filmmaker,,iran
683,Shaghayegh Farahani,actress,,iran
684,Saeed Farajpouri,"composer, musician",,iran
685,Hormoz Farhat,composer,,iran
686,Shahin Farhat,composer,,iran
687,Farimah Farjami,actress,,iran
688,Abbas Mirza Farman Farmaian,prince of Qajar Dynasty,,iran
689,Manucher Mirza Farman Farmaian,politician,,iran
690,Bahman Farmanara,"film director, screenwriter, film producer",,iran
691,Abdol-Hossein Mirza Farmanfarma,"prince, politician",,iran
692,Bita Farrahi,actress,,iran
693,Hamid Farrokhnezhad,"actor, writer, director",,iran
694,Mahmoud Farshchian,painter,,iran
695,Hossein Fatemi,politician,,iran
696,Iradj Fazel,"surgeon, academic",,iran
697,Reza Fazeli,"film director, opposition figure",,iran
698,Adel Ferdosipour,"journalist, translator, football commentator",,iran
699,Fereydoon Foroughi,musician,,iran
700,Dariush Forouhar,politician,,iran
701,Jahangir Forouhar,actor,,iran
702,Leila Forouhar,"singer, actress",,iran
703,Mohammad-Reza Foroutan,actor,,iran
704,Akbar Ganji,"journalist, writer",,iran
705,Iraj Ghaderi,"director, actor",,iran
706,Ehsan Ghaem-Maghami,chess grandmaster,,iran
707,Ali Ghanbari,photojournalist,,iran
708,Mokarrameh Ghanbari,painter,,iran
709,Shahyar Ghanbari,"lyricist, songwriter, singer",,iran
710,Faramarz Gharibian,"actor, director",,iran
711,Behrouz Gharibpour,theater director,,iran
712,Mehran Ghassemi,journalist,,iran
713,Abdul Rahman Ghassemlou,Kurdish political leader,,iran
714,Mohammad Ghazi,"translator, writer",,iran
715,Bahman Ghobadi,film director,,iran
716,Siavash Ghomayshi,"musician, singer, songwriter",,iran
717,Hossein Elahi Ghomshei,"scholar, author",,iran
718,Sadegh Ghotbzadeh,politician,,iran
719,Kaveh Golestan,"photojournalist, artist",,iran
720,Akbar Golrang,"author, film director",,iran
721,Mohammad Reza Golzar,"actor, musician",,iran
722,Googoosh,"singer, actress",,iran
723,Emam-Ali Habibi,"Olympic medalist, wrestler",,iran
724,Hassan Habibi,politician,,iran
725,Fatemeh Haghighatjoo,politician,,iran
726,Azita Hajian,actress,,iran
727,Saeed Hajjarian,"journalist, activist",,iran
728,Morteza Hannaneh,"composer, musician",,iran
729,Maryam Hashemi,painter,,iran
730,Mehdi Hashemi,Iranian Shi'a cleric,,iran
731,Ali Akbar Hashemi-Rafsanjani,"former president, politician, writer",,iran
732,Mir Emad Hassani,calligrapher,,iran
733,Ali Hatami,"film director, screenwriter, art director",,iran
734,Leila Hatami,actress,,iran
735,Ebrahim Hatamikia,filmmaker,,iran
736,Amin Hayai,actor,,iran
737,Mansoor Hekmat,theorist,,iran
738,Seyed Mehdi Hosseini,"composer, musicologist",,iran
739,Ruhollah Hosseinian,politician,,iran
740,Shirazeh Houshiary,"artist, sculptor",,iran
741,Khan Bahadur Ardeshir Irani,"writer, director, producer",,iran
742,Shah Ismail I,Shah of Iran,,iran
743,Abbas Jadidi,"Olympic medalist, wrestler",,iran
744,Alireza Jafarzadeh,"media commentator, author",,iran
745,Nader Jahanbani,"air force general, pilot",,iran
746,Nasrollah Jahangard,politician,,iran
747,Abolfazl Jalili,film director,,iran
748,Saeed Jalili,politician,,iran
749,Shahin Jamie,actor,,iran
750,Ahmad Jannati,politician,,iran
751,Ebrahim Javadi,"Olympic medalist, wrestler",,iran
752,Maz Jobrani,comedian,,iran
753,Farzaneh Kaboli,dancer,,iran
754,Kayhan Kalhor,"composer, musician",,iran
755,Gholamhossein Karbaschi,politician,,iran
756,Farah Karimi,politician,,iran
757,Niki Karimi,"actress, film director, screenwriter",,iran
758,Mehdi Karroubi,politician,,iran
759,Abol-Ghasem Kashani,politician,,iran
760,Nasrollah Kasraian,photographer,,iran
761,Ahmad Kasravi,"linguist, historian",,iran
762,Moshe Katsav,former president,,iran
763,Zahra Kazemi,photographer,,iran
764,Rahim Moeini Kermanshahi,lyricist,,iran
765,Mohammad-Ali Keshavarz,actor,,iran
766,Samuel Khachikian,"film director, screenwriter, author",,iran
767,Amir Reza Khadem,"Olympic medalist, wrestler",,iran
768,Rasoul Khadem,"Olympic medalist, wrestler",,iran
769,Ruhollah Khaleqi,"musician, conductor, composer",,iran
770,Ali Khamenei,supreme leader,,iran
771,Yadollah Kaboli Khansari,calligrapher,,iran
772,Kamal Kharazi,politician,,iran
773,Ahmad Khatami,politician,,iran
774,Mohammad Khatami,"former president, scholar, philosopher",,iran
775,Darius Khondji,cinematographer,,iran
776,Hadi Khorsandi,"poet, satirist",,iran
777,Shappi Khorsandi,comedian,,iran
778,Reza Kianian,actor,,iran
779,Abbas Kiarostami,"film director, screenwriter, film producer",,iran
780,Masoud Kimiai,"film director, screenwriter, producer",,iran
781,Parviz Kimiavi,"film director, screenwriter",,iran
782,Kamshad Kooshan,"movie writer, director",,iran
783,Nikahang Kowsar,cartoonist,,iran
784,Fariborz Lachini,"composer, music producer",,iran
785,Tannaz Lahiji,artist,,iran
786,Mohammad-Reza Lotfi,musician,,iran
787,Andranik Madadian,"singer, songwriter",,iran
788,Mahasti,singer,,iran
789,Mahmud Mahmud,"politician, historian",,iran
790,Majid Majidi,"film director, film producer, screenwriter",,iran
791,Mohsen Makhmalbaf,"film director, writer, editor, producer",,iran
792,Samira Makhmalbaf,"filmmaker, script writer",,iran
793,Iman Maleki,painter,,iran
794,Rosie Malek-Yonan,"actress, author, director, activist",,iran
795,Lotfi Mansouri,opera director,,iran
796,Javad Maroufi,"composer, pianist",,iran
797,Marzieh,singer,,iran
798,Alireza Mashayekhi,"musician, composer, conductor",,iran
799,Jamshid Mashayekhi,actor,,iran
800,Nader Mashayekhi,composer,,iran
801,Haik Hovsepian Mehr,"bishop, Christian martyr",,iran
802,Dariush Mehrjui,"director, screenwriter, producer, film editor",,iran
803,Farshid Mesghali,"graphic designer, illustrator, animator, author",,iran
804,Parviz Meshkatian,"composer, musician",,iran
805,Ali Meshkini,"politician, cleric",,iran
806,Shahrokh Meskoob,"writer, translator, scholar",,iran
807,Arash Miresmaeili,"Olympic medalist, judoka",,iran
808,Hassan Modarres,cleric,,iran
809,Mehran Modiri,"actor, director",,iran
810,Moein,singer,,iran
811,Shaul Mofaz,politician,,iran
812,Hengameh Mofid,"actress, director, dramatist",,iran
813,Nasser Moghadam,last chief of SAVAK,,iran
814,Ata'ollah Mohajerani,"historian, politician, journalist, author",,iran
815,Ali Akbar Mohtashamipur,"cleric, politician",,iran
816,Rasoul Mollagholipour,"director, screenwriter, producer",,iran
817,Morteza Momayez,graphic designer,,iran
818,Hossein Monzavi,lyricist,,iran
819,Elshan Moradi,chess grandmaster,,iran
820,Ali Mosaffa,"actor, director",,iran
821,Farhad Moshiri,artist,,iran
822,Mohammad Mossadeq,former prime minister,,iran
823,Sina Motalebi,journalist,,iran
824,Noreen Motamed,painter,,iran
825,Fatemeh Motamed-Arya,actress,,iran
826,Ahmad Motamedi,politician,,iran
827,Hamid Motebassem,musician,,iran
828,Mir-Hossein Mousavi,former prime minister,,iran
829,Mohammad Mousavi,musician,,iran
830,Abdolvahed Mousavi-Lari,politician,,iran
831,Abdollah Movahed,"Olympic medalist, wrestler",,iran
832,Ebrahim Nabavi,"satirist, writer, diarist",,iran
833,Amir Naderi,"film director, screenwriter",,iran
834,Mahdi Bemani Naeini,"film director, cinematographer, news producer",,iran
835,Ahmad Najafi,"actor, producer",,iran
836,Mohammad-Ali Najafi,politician,,iran
837,Mahmoud Namjoo,"Olympic medalist, weight lifter",,iran
838,Mohsen Namjoo,"singer, songwriter, musician",,iran
839,Ehsan Naraghi,"sociologist, writer",,iran
840,Hossein Nasr,philosopher,,iran
841,Nematollah Nassiri,former director of SAVAK,,iran
842,Ali Nassirian,actor,,iran
843,Ali Akbar Nategh-Nouri,politician,,iran
844,Shahram Nazeri,"singer, composer",,iran
845,Ezzat Negahban,archaeologist,,iran
846,Mana Neyestani,"cartoonist, illustrator",,iran
847,Touka Neyestani,cartoonist,,iran
848,Roya Nonahali,actress,,iran
849,Mohsen Nourbakhsh,"economist, banker",,iran
850,Abdollah Nouri,"politician, cleric",,iran
851,Parviz Nouri,"director, film critic, screenwriter",,iran
852,Alireza Nourizadeh,"scholar, literary figure, journalist",,iran
853,Guity Novin,"painter, graphic designer",,iran
854,Kazem Ordoobadi,painter,,iran
855,Mostafa Oskooyi,"actor, director",,iran
856,Mahin Oskouei,theater director,,iran
857,Ashraf Pahlavi,princess,,iran
858,Farah Pahlavi,"former queen, empress",,iran
859,Leila Pahlavi,princess,,iran
860,Reza Pahlavi,crown prince,,iran
861,Hassan Pakravan,diplomat,,iran
862,Bijan Pakzad,menswear and fragrance designer,,iran
863,Jafar Panahi,"film director, producer, editor, writer",,iran
864,Parviz Parastui,"actor, singer",,iran
865,Shadi Paridar,chess grandmaster,,iran
866,Parisa,"singer, musician",,iran
867,Asghar Parsa,spokesperson National Front,,iran
868,Farrokhroo Parsa,"physician, educator, parliamentarian",,iran
869,Shahrnush Parsipur,novelist,,iran
870,Babak Payami,film director,,iran
871,Faramarz Payvar,"composer, musician",,iran
872,Shahkar Binesh Pazhooh,"poet, songwriter, singer",,iran
873,Nasim Pedrad,"actress, comedian",,iran
874,Ahmad Pejman,composer,,iran
875,Paul the Persian,philosopher,,iran
876,Colonel Mohammad Taqi-Khan Pessian,military leader,,iran
877,Mahaya Petrosian,actress,,iran
878,Habibollah Peyman,politician,,iran
879,Parsa Pirouzfar,"actor, theater director",,iran
880,Zoya Pirzad,"writer, novelist",,iran
881,Laleh Pourkarim,"singer, songwriter",,iran
882,Pyruz,"singer, songwriter, composer",,iran
883,Saeed Rad,"actor, playwright",,iran
884,Bahram Radan,actor,,iran
885,Akbar Radi,playwright,,iran
886,Ali Rahbari,"composer, conductor",,iran
887,Ramin Rahimi,"musician, composer",,iran
888,Alireza Rajaei,journalist,,iran
889,Kazem Rajavi,"human rights advocate, politician",,iran
890,Maryam Rajavi,politician,,iran
891,Masoud Rajavi,militant opposition leader,,iran
892,Abdollah Ramezanzadeh,"academic, writer, politician",,iran
893,Behzad Ranjbaran,composer,,iran
894,Davoud Rashidi,actor,,iran
895,Jalil Rasouli,"calligrapher, artist",,iran
896,Freydoon Rassouli,painter,,iran
897,Amir Shahab Razavian,"film director, filmmaker, producer",,iran
898,Ali Razmara,"former prime minister, military leader",,iran
899,Jahangir Razmi,photographer,,iran
900,Mohammad Reza,former Shah,,iran
901,Mohsen Rezaee,politician,,iran
902,Alireza Rezaei,"Olympic medalist, wrestler",,iran
903,Hossein Rezazadeh,"Olympic medalist, weight lifter",,iran
904,Anoushiraven Rohani,"pianist, songwriter",,iran
905,Shahrdad Rohani,"composer, violinist, pianist, conductor",,iran
906,Susan Roshan,singer,,iran
907,Homa Rousta,actress,,iran
908,Hassan Rowhani,"politician, cleric",,iran
909,Ahmad Saatchian,actor,,iran
910,Abolhasan Saba,"musician, composer",,iran
911,Ali Akbar Sadeghi,painter,,iran
912,Ghotbeddin Sadeghi,"director, playwright, actor",,iran
913,Reza Sadeghi,"singer, songwriter",,iran
914,Abolhassan Khan Sadighi,"sculptor, painter",,iran
915,Gholam Hossein Sadighi,politician,,iran
916,Musa al-Sadr,philosopher,,iran
917,Shadi Sadr,"lawyer, journalist, activist",,iran
918,Mehid Saeedi,artist,,iran
919,Zabihollah Safa,scholar,,iran
920,Navvab Safavi,cleric,,iran
921,Ezzatollah Sahabi,"scholar, humanitarian, activist, politician",,iran
922,Yadollah Sahabi,"scholar, writer, reformist, politician",,iran
923,Kiawasch Sahebnassagh,"composer, researcher",,iran
924,Abolmohsen Salemi,"journalist, lawyer, poet, writer",,iran
925,Mojtaba Saminejad,blogger,,iran
926,Karim Sanjabi,politician,,iran
927,Heshmat Sanjari,"conductor, composer",,iran
928,Behnaz Sarafpour,fashion designer,,iran
929,Hassan Sattar,singer,,iran
930,Mohammad Sattarifar,"economist, former vice president",,iran
931,Parviz Sayyad,"actor, film director",,iran
932,Abdolhossein Sepanta,"film director, producer",,iran
933,Sohrab Sepehri,"poet, painter",,iran
934,Mohammad Mojtahed Shabestari,philosopher,,iran
935,Shahram Shabpareh,"singer, songwriter",,iran
936,Nadir Shah,former ruler of Persia,,iran
937,Naser al-Din Shah,former king,,iran
938,Alireza Shapour Shahbazi,archeologist,,iran
939,Sohrab Shahid-Saless,filmmaker,,iran
940,Sadegh Malek Shahmirzadi,archeologist,,iran
941,Moshir Habibollah Homayoun Shahrdar,pianist,,iran
942,Homayoun Shajarian,vocalist,,iran
943,Mohammad-Reza Shajarian,"composer, singer",,iran
944,Khosrow Shakibai,actor,,iran
945,Ali Shamkhani,"navy admiral, politician",,iran
946,Ahmad Shamlou,"poet, journalist",,iran
947,Mohammad Shams,"conductor, composer",,iran
948,Vahid Shamsaei,musician,,iran
949,Ali Shariati,revolutionary,,iran
950,Hossein Shariatmadari,editor,,iran
951,Mohammad-Reza Sharifinia,actor,,iran
952,Dariush Shayegan,theorist,,iran
953,Jamileh Sheykhi,actress,,iran
954,Kamran Shirdel,documentarist,,iran
955,Ghobad Shiva,graphic designer,,iran
956,Daryush Shokof,"film director, writer, film producer",,iran
957,Younes Shokrkhah,journalist,,iran
958,Khosrow Sinai,film director,,iran
959,Shohreh Solati,singer,,iran
960,Bahar Soomekh,"actress, environmental activist",,iran
961,Abdolkarim Soroush,philosopher,,iran
962,Jazeh Tabatabai,"painter, poet, sculptor",,iran
963,Kamal Tabrizi,film director,,iran
964,Ahmad Tafazzoli,linguist,,iran
965,Nasser Taghvai,"film director, screenwriter",,iran
966,Ali Tajvidi,"musician, composer, violinist, songwriter",,iran
967,Seyyed Mostafa Tajzadeh,politician,,iran
968,Gholamreza Takhti,"Olympic medalist, wrestler",,iran
969,Mahmoud Taleghani,"theologian, humanist",,iran
970,Parviz Tanavoli,sculptor,,iran
971,Mohammad Ali Taraghijak,painter,,iran
972,Susan Taslimi,"actress, film director, screenwriter",,iran
973,Ahmad Tavakkoli,politician,,iran
974,Hedieh Tehrani,actress,,iran
975,Hossein Tehrani,musician,,iran
976,Roya Teymourian,actress,,iran
977,Hossein Valamanesh,artist,,iran
978,Ali Khan Vali,photographer,,iran
979,Mohsen Vaziri-Moghaddam,painter,,iran
980,Viguen,singer,,iran
981,Alfred Yaghobzadeh,photographer,,iran
982,Parviz Yahaghi,"composer, violinist",,iran
983,Peyman Yazdanian,"pianist, composer",,iran
984,Ebrahim Yazdi,"politician, diplomat",,iran
985,Manoucher Yektai,artist,,iran
986,Fazlollah Zadedi,"former prime minister, army general",,iran
987,Ardeshir Zahedi,diplomat,,iran
988,Mahla Zamani,fashion designer,,iran
989,Merila Zarei,actress,,iran
990,Habib Zargarpour,art director,,iran
991,Hossein Zenderoudi,"painter, sculptor",,iran
992,Jalal Zolfonun,"musician, composer",,iran
993,Mahmoud Zoufonoun,musician,,iran
994,Ali Dashti ,politician,,iran
995,Ali-Akbar Davar ,"minister, founder of Iran's modern judiciary system",,iran
996,Nader Davoodi,photojournalist,,iran
997,Reza Deghati ,photojournalist,,iran
998,Ali-Akbar Dehkhoda ,"linguist, author",,iran
999,Hossein Dehlavi ,composer,,iran
1000,Masoud Dehnamaki ,"activist, journalist",,iran
1001,Delkash ,"actress, singer",,iran
1002,Jimmy Delshad ,politician,,iran
1003,"Hossein ""Hoder"" Derakhshan ",blogger,,iran
1004,"Vigen ""Viguen"" Derderian ",singer,,iran
1005,Kamran Diba ,architect,,iran
1006,Ali Divandari ,"cartoonist, graphic designer, painter",,iran
1007,Ali Dizaei ,commander London Metropolitan Police,,iran
1008,Ghorbanali Dorri-Najafabadi ,"politician, cleric",,iran
1009,Shirin Ebadi ,"lawyer, human rights activist, Nobel laureate",,iran
1010,Ebi ,"singer, songwriter",,iran
1011,Zahra Amir Ebrahimi ,photographer,,iran
1012,Masoumeh Ebtekar ,"scientist, journalist, politician",,iran
1013,Dariush Eghbali ,singer,,iran
1014,Saeed Emami ,politician,,iran
1015,Bizhan Emkanian ,actor,,iran
1016,Shahram Entekhabi ,"video, installation artist",,iran
1017,Ezzatolah Entezami ,actor,,iran
1018,Homayoun Ershadi ,actor,,iran
1019,Mohammad Esfahani ,singer,,iran
1020,Tania Eshaghoff ,pianist,,iran
1021,Zahra Eshraghi ,"feminist, human rights activist",,iran
1022,Abolhassan Etessami ,"architect, painter, novelist, calligrapher",,iran
1023,Vahid Evazzadeh ,"filmmaker, theater director",,iran
1024,Farhad Fakhreddini ,"composer, conductor",,iran
1025,Ali Fallahian ,politician,,iran
1026,Parviz Fannizadeh ,actor,,iran
1027,Behzad Farahani ,"actor, screenwriter",,iran
1028,Golshifteh Farahani ,"actress, pianist",,iran
1029,Mitra Farahani,"filmmaker, painter",,iran
1030,Ramin Farahani ,filmmaker,,iran
1031,Shaghayegh Farahani ,actress,,iran
1032,Saeed Farajpouri ,"composer, musician",,iran
1033,Hormoz Farhat ,composer,,iran
1034,Shahin Farhat ,composer,,iran
1035,Farimah Farjami ,actress,,iran
1036,Abbas Mirza Farman Farmaian ,prince of Qajar Dynasty,,iran
1037,Manucher Mirza Farman Farmaian,politician,,iran
1038,Bahman Farmanara ,"film director, screenwriter, film producer",,iran
1039,Abdol-Hossein Mirza Farmanfarma ,"prince, politician",,iran
1040,Bita Farrahi ,actress,,iran
1041,Hamid Farrokhnezhad ,"actor, writer, director",,iran
1042,Mahmoud Farshchian ,painter,,iran
1043,Hossein Fatemi ,politician,,iran
1044,Iradj Fazel ,"surgeon, academic",,iran
1045,Reza Fazeli ,"film director, opposition figure",,iran
1046,Adel Ferdosipour ,"journalist, translator, football commentator",,iran
1047,Fereydoon Foroughi ,musician,,iran
1048,Dariush Forouhar ,politician,,iran
1049,Jahangir Forouhar ,actor,,iran
1050,Leila Forouhar ,"singer, actress",,iran
1051,Mohammad-Reza Foroutan ,actor,,iran
1052,Akbar Ganji ,"journalist, writer",,iran
1053,Iraj Ghaderi ,"director, actor",,iran
1054,Ehsan Ghaem-Maghami ,chess grandmaster,,iran
1055,Ali Ghanbari ,photojournalist,,iran
1056,Mokarrameh Ghanbari ,painter,,iran
1057,Shahyar Ghanbari ,"lyricist, songwriter, singer",,iran
1058,Faramarz Gharibian ,"actor, director",,iran
1059,Behrouz Gharibpour,theater director,,iran
1060,Mehran Ghassemi ,journalist,,iran
1061,Abdul Rahman Ghassemlou,Kurdish political leader,,iran
1062,Mohammad Ghazi ,"translator, writer",,iran
1063,Bahman Ghobadi ,film director,,iran
1064,Siavash Ghomayshi,"musician, singer, songwriter",,iran
1065,Hossein Elahi Ghomshei ,"scholar, author",,iran
1066,Sadegh Ghotbzadeh ,politician,,iran
1067,Kaveh Golestan ,"photojournalist, artist",,iran
1068,Akbar Golrang ,"author, film director",,iran
1069,Mohammad Reza Golzar,"actor, musician",,iran
1070,Googoosh ,"singer, actress",,iran
1071,Emam-Ali Habibi ,"Olympic medalist, wrestler",,iran
1072,Hassan Habibi ,politician,,iran
1073,Fatemeh Haghighatjoo ,politician,,iran
1074,Azita Hajian ,actress,,iran
1075,Saeed Hajjarian ,"journalist, activist",,iran
1076,Morteza Hannaneh ,"composer, musician",,iran
1077,Maryam Hashemi ,painter,,iran
1078,Mehdi Hashemi ,Iranian Shi'a cleric,,iran
1079,Ali Akbar Hashemi-Rafsanjani ,"former president, politician, writer",,iran
1080,Mir Emad Hassani ,calligrapher,,iran
1081,Ali Hatami ,"film director, screenwriter, art director",,iran
1082,Leila Hatami ,actress,,iran
1083,Ebrahim Hatamikia ,filmmaker,,iran
1084,Amin Hayai ,actor,,iran
1085,Mansoor Hekmat ,theorist,,iran
1086,Seyed Mehdi Hosseini ,"composer, musicologist",,iran
1087,Ruhollah Hosseinian ,politician,,iran
1088,Shirazeh Houshiary ,"artist, sculptor",,iran
1089,Khan Bahadur Ardeshir Irani ,"writer, director, producer",,iran
1090,Shah Ismail I ,Shah of Iran,,iran
1091,Abbas Jadidi ,"Olympic medalist, wrestler",,iran
1092,Alireza Jafarzadeh ,"media commentator, author",,iran
1093,Nader Jahanbani ,"air force general, pilot",,iran
1094,Nasrollah Jahangard ,politician,,iran
1095,Abolfazl Jalili ,film director,,iran
1096,Saeed Jalili ,politician,,iran
1097,Shahin Jamie ,actor,,iran
1098,Ahmad Jannati ,politician,,iran
1099,Ebrahim Javadi ,"Olympic medalist, wrestler",,iran
1100,Maz Jobrani ,comedian,,iran
1101,Farzaneh Kaboli ,dancer,,iran
1102,Kayhan Kalhor ,"composer, musician",,iran
1103,Gholamhossein Karbaschi ,politician,,iran
1104,Farah Karimi ,politician,,iran
1105,Niki Karimi ,"actress, film director, screenwriter",,iran
1106,Mehdi Karroubi ,politician,,iran
1107,Abol-Ghasem Kashani ,politician,,iran
1108,Nasrollah Kasraian ,photographer,,iran
1109,Ahmad Kasravi ,"linguist, historian",,iran
1110,Moshe Katsav ,former president,,iran
1111,Zahra Kazemi ,photographer,,iran
1112,Rahim Moeini Kermanshahi ,lyricist,,iran
1113,Mohammad-Ali Keshavarz ,actor,,iran
1114,Samuel Khachikian ,"film director, screenwriter, author",,iran
1115,Amir Reza Khadem ,"Olympic medalist, wrestler",,iran
1116,Rasoul Khadem ,"Olympic medalist, wrestler",,iran
1117,Ruhollah Khaleqi ,"musician, conductor, composer",,iran
1118,Ali Khamenei ,supreme leader,,iran
1119,Yadollah Kaboli Khansari ,calligrapher,,iran
1120,Kamal Kharazi ,politician,,iran
1121,Ahmad Khatami ,politician,,iran
1122,Mohammad Khatami ,"former president, scholar, philosopher",,iran
1123,Darius Khondji ,cinematographer,,iran
1124,Hadi Khorsandi ,"poet, satirist",,iran
1125,Shappi Khorsandi ,comedian,,iran
1126,Reza Kianian ,actor,,iran
1127,Abbas Kiarostami ,"film director, screenwriter, film producer",,iran
